predictor,PC1_r,PC2_r
annual_rain,0.9032917461153047,-0.12863889623001418
annual_temp,-0.8927666285563948,-0.033118530754080555
sand,0.8689831597318545,0.23595013138794663
gravel,-0.8291035763666753,0.174784872984698
depth_mx,0.815580223479842,0.05339576627016261
width,0.8073064685947835,0.45780183837800087
other_land,-0.7872624288211368,0.14163021056645805
nitrate,-0.7816903801653314,0.22778269722035277
q_ds,0.7717975458225769,-0.10389146813843962
phosphate,-0.7679141676778215,0.275994242490882
crop_land,0.6945510422378742,0.23759402695197882
q_mu,0.664064275118865,0.6255947077727878
q_hfpp3,0.6550397192134102,-0.5683003736977882
temperature,-0.6394141851979055,-0.06549348103871382
q_hfpp7,0.6173601268870743,-0.35569021382317956
q_hfpp15,0.600912884836523,-0.30510169349983823
q_75,0.5982859892673199,0.6082276197732801
turbidity,0.5921532338874161,0.0412199616919473
diatoms,-0.5605188695387392,0.08796566571991876
elevation_m,-0.5588174991291278,-0.4411383724473867
green_algae,0.4897352159642077,-0.1841781756109667
q_sd,0.479287435322207,0.675119947837371
bluegreen_cyano,-0.4696817288490798,-0.27709673660049494
q_med,0.4664468707083616,0.6894112132850044
lake_density_sqkm,0.40573657506189037,-0.6335660458325924
developed_land,-0.4037903344691565,0.13447347217766492
conductivity,-0.3863299530966723,0.0989744422872473
canopy,-0.3516532680408764,0.7631798563428774
q_fs,0.3112813712217152,-0.8970147982589913
silt,-0.3036582392196356,-0.2425212978408764
q_25,0.1928240524157151,0.7455567367201357
forest_land,0.18882816166413197,-0.7195624453484573
q_cdc,0.18468720814236167,-0.950539072729253
bay_distance_km,-0.11288882685312635,-0.22720789005569686
q_rsd,0.05838218804510956,-0.9237478477030986
d_oxygen,-0.056174187841255274,-0.16872387534290495
q_max,0.050853471593518246,0.6594079288646728
ph,-0.05030405764282535,0.01200126887048806
q_lfpp,0.043191132245516475,0.8240326155464053
ammonia,-0.023400055056942974,-0.6550963754930101
doc,0.020310389607349034,0.3678334245044961
q_wcdc,0.004757921616898486,-0.8415871535644788
