site_code,collection_date,transient_presence,transient_fraction,Resident,Transient,present_total,present_length,transient_prob
AR,2017-09-12,1,0.24489795918367346,37,12,13,17,0.7647058823529411
AR,2017-11-01,1,0.12738853503184713,137,20,13,17,0.7647058823529411
AR,2017-12-07,1,0.011111111111111112,89,1,13,17,0.7647058823529411
AR,2018-02-03,1,0.050724637681159424,131,7,13,17,0.7647058823529411
AR,2018-04-07,1,0.023809523809523808,41,1,13,17,0.7647058823529411
AR,2018-05-12,1,0.0072992700729927005,136,1,13,17,0.7647058823529411
AR,2018-06-08,1,0.024390243902439025,40,1,13,17,0.7647058823529411
AR,2018-07-02,1,0.0625,15,1,13,17,0.7647058823529411
AR,2018-08-08,0,0,6,0,13,17,0.7647058823529411
AR,2018-09-11,1,0.13,87,13,13,17,0.7647058823529411
AR,2019-03-11,1,0.0784313725490196,94,8,13,17,0.7647058823529411
AR,2019-09-17,1,0.11428571428571428,31,4,13,17,0.7647058823529411
AR,2020-01-16,0,0,9,0,13,17,0.7647058823529411
AR,2020-01-17,0,0,27,0,13,17,0.7647058823529411
AR,2020-05-20,0,0,222,0,13,17,0.7647058823529411
AR,2020-09-20,1,0.032520325203252036,119,4,13,17,0.7647058823529411
AR,2020-11-03,1,0.0034965034965034965,285,1,13,17,0.7647058823529411
EM,2017-10-10,1,0.025477707006369428,153,4,14,17,0.8235294117647058
EM,2017-11-03,1,0.15608465608465608,319,59,14,17,0.8235294117647058
EM,2017-12-02,1,0.1480099502487562,685,119,14,17,0.8235294117647058
EM,2018-02-09,1,0.26053042121684866,474,167,14,17,0.8235294117647058
EM,2018-03-02,1,0.6,10,15,14,17,0.8235294117647058
EM,2018-03-09,1,0.25757575757575757,294,102,14,17,0.8235294117647058
EM,2018-03-31,1,0.13636363636363635,190,30,14,17,0.8235294117647058
EM,2018-05-04,1,0.3592592592592593,173,97,14,17,0.8235294117647058
EM,2018-06-04,1,0.9009584664536742,31,282,14,17,0.8235294117647058
EM,2018-07-09,1,0.8301886792452831,9,44,14,17,0.8235294117647058
EM,2018-09-01,1,0.6982758620689655,35,81,14,17,0.8235294117647058
EM,2019-03-09,1,0.755868544600939,52,161,14,17,0.8235294117647058
EM,2019-10-02,1,0.18048780487804877,168,37,14,17,0.8235294117647058
EM,2020-01-14,1,0.23333333333333334,115,35,14,17,0.8235294117647058
EM,2020-05-30,0,0,71,0,14,17,0.8235294117647058
EM,2020-09-08,0,0,54,0,14,17,0.8235294117647058
EM,2020-11-05,0,0,172,0,14,17,0.8235294117647058
GC,2017-10-03,1,0.225,31,9,12,16,0.75
GC,2017-11-04,1,0.1148936170212766,208,27,12,16,0.75
GC,2017-12-03,1,0.4017467248908297,137,92,12,16,0.75
GC,2018-02-11,1,0.1619047619047619,176,34,12,16,0.75
GC,2018-03-30,1,0.20642201834862386,173,45,12,16,0.75
GC,2018-05-04,1,0.05,114,6,12,16,0.75
GC,2018-06-06,0,0,81,0,12,16,0.75
GC,2018-07-09,0,0,9,0,12,16,0.75
GC,2018-07-28,1,0.3037037037037037,94,41,12,16,0.75
GC,2018-11-15,1,0.5173913043478261,111,119,12,16,0.75
GC,2019-03-12,1,0.8075471698113208,51,214,12,16,0.75
GC,2019-10-08,0,0,189,0,12,16,0.75
GC,2020-01-15,1,0.13725490196078433,44,7,12,16,0.75
GC,2020-05-24,1,0.009009009009009009,110,1,12,16,0.75
GC,2020-09-09,0,0,178,0,12,16,0.75
GC,2020-11-02,1,0.017543859649122806,112,2,12,16,0.75
MR,2017-09-26,1,0.039603960396039604,194,8,12,13,0.9230769230769231
MR,2017-10-31,1,0.26634382566585957,303,110,12,13,0.9230769230769231
MR,2017-12-05,1,0.39473684210526316,184,120,12,13,0.9230769230769231
MR,2018-02-05,1,0.42549668874172186,347,257,12,13,0.9230769230769231
MR,2018-03-05,1,0.31343283582089554,46,21,12,13,0.9230769230769231
MR,2018-06-08,1,0.5789473684210527,8,11,12,13,0.9230769230769231
MR,2018-07-30,1,0.8253968253968254,33,156,12,13,0.9230769230769231
MR,2019-03-10,1,0.6164383561643836,84,135,12,13,0.9230769230769231
MR,2019-10-01,1,0.7777777777777778,2,7,12,13,0.9230769230769231
MR,2020-01-17,1,0.14285714285714285,12,2,12,13,0.9230769230769231
MR,2020-05-21,1,0.11428571428571428,31,4,12,13,0.9230769230769231
MR,2020-09-10,1,0.018518518518518517,53,1,12,13,0.9230769230769231
MR,2020-11-03,0,0,118,0,12,13,0.9230769230769231
PD,2017-10-04,0,0,38,0,11,15,0.7333333333333333
PD,2017-11-01,1,0.038461538461538464,50,2,11,15,0.7333333333333333
PD,2017-12-05,1,0.208955223880597,106,28,11,15,0.7333333333333333
PD,2018-02-05,1,0.19047619047619047,34,8,11,15,0.7333333333333333
PD,2018-03-05,1,0.0196078431372549,50,1,11,15,0.7333333333333333
PD,2018-03-30,1,0.05555555555555555,34,2,11,15,0.7333333333333333
PD,2018-05-10,1,0.06944444444444445,67,5,11,15,0.7333333333333333
PD,2018-06-08,1,0.010638297872340425,93,1,11,15,0.7333333333333333
PD,2018-08-08,1,0.13008130081300814,107,16,11,15,0.7333333333333333
PD,2018-08-31,1,0.03296703296703297,88,3,11,15,0.7333333333333333
PD,2019-03-10,1,0.2903225806451613,22,9,11,15,0.7333333333333333
PD,2019-10-09,0,0,49,0,11,15,0.7333333333333333
PD,2020-01-16,0,0,82,0,11,15,0.7333333333333333
PD,2020-05-21,1,0.030303030303030304,64,2,11,15,0.7333333333333333
PD,2020-09-09,0,0,175,0,11,15,0.7333333333333333
PL,2017-10-10,1,0.6616541353383458,90,176,15,16,0.9375
PL,2017-11-11,1,0.36538461538461536,594,342,15,16,0.9375
PL,2017-12-03,1,0.6059027777777778,227,349,15,16,0.9375
PL,2018-02-11,1,0.5170068027210885,426,456,15,16,0.9375
PL,2018-03-10,1,0.288,89,36,15,16,0.9375
PL,2018-04-01,1,0.768837803320562,181,602,15,16,0.9375
PL,2018-05-10,1,0.4775641025641026,163,149,15,16,0.9375
PL,2018-06-07,1,0.19207317073170732,265,63,15,16,0.9375
PL,2018-07-28,1,0.2987012987012987,54,23,15,16,0.9375
PL,2018-09-25,1,0.43333333333333335,34,26,15,16,0.9375
PL,2019-03-12,1,0.5680473372781065,73,96,15,16,0.9375
PL,2019-10-05,1,0.7786116322701688,118,415,15,16,0.9375
PL,2020-01-15,1,0.5627177700348432,251,323,15,16,0.9375
PL,2020-05-24,0,0,248,0,15,16,0.9375
PL,2020-09-15,1,0.05,133,7,15,16,0.9375
PL,2020-11-02,1,0.0109717868338558,631,7,15,16,0.9375
SF,2017-09-19,0,0,93,0,4,15,0.26666666666666666
SF,2017-11-05,1,0.0012091898428053204,826,1,4,15,0.26666666666666666
SF,2017-12-11,0,0,147,0,4,15,0.26666666666666666
SF,2018-02-02,1,0.012605042016806723,470,6,4,15,0.26666666666666666
SF,2018-04-07,0,0,345,0,4,15,0.26666666666666666
SF,2018-05-12,0,0,77,0,4,15,0.26666666666666666
SF,2018-06-01,0,0,381,0,4,15,0.26666666666666666
SF,2018-07-02,1,0.046511627906976744,41,2,4,15,0.26666666666666666
SF,2018-09-18,1,0.32,34,16,4,15,0.26666666666666666
SF,2019-03-21,0,0,668,0,4,15,0.26666666666666666
SF,2019-09-24,0,0,273,0,4,15,0.26666666666666666
SF,2020-01-13,0,0,645,0,4,15,0.26666666666666666
SF,2020-05-27,0,0,208,0,4,15,0.26666666666666666
SF,2020-09-11,0,0,125,0,4,15,0.26666666666666666
SF,2020-11-04,0,0,353,0,4,15,0.26666666666666666
TR,2017-09-25,1,0.04594594594594595,353,17,13,13,1
TR,2017-11-05,1,0.24861878453038674,272,90,13,13,1
TR,2017-12-11,1,0.7300380228136882,71,192,13,13,1
TR,2018-02-02,1,0.81859410430839,320,1444,13,13,1
TR,2018-04-07,1,0.6621392190152802,199,390,13,13,1
TR,2018-06-01,1,0.49934810951760106,384,383,13,13,1
TR,2018-07-02,1,0.10204081632653061,132,15,13,13,1
TR,2018-08-31,1,0.10344827586206896,26,3,13,13,1
TR,2019-10-09,1,0.18181818181818182,9,2,13,13,1
TR,2020-01-13,1,0.6383763837638377,98,173,13,13,1
TR,2020-05-27,1,0.047619047619047616,20,1,13,13,1
TR,2020-09-11,1,0.1935483870967742,100,24,13,13,1
TR,2020-11-04,1,0.7107583774250441,328,806,13,13,1
WM,2017-10-10,1,0.43333333333333335,17,13,13,16,0.8125
WM,2017-11-03,1,0.44360902255639095,74,59,13,16,0.8125
