site,m_group,dataset,mean,sd,2.5%,25%,50%,75%,97.5%
WM,Centrarchiformes,order,12.374728916906474,3.385198610908445,5.934774349456165,10.126064673506605,12.251091231120869,14.615528343614208,19.053183385937658
WM,Cyprinodontiformes,order,13.836494112056357,8.240226414689579,2.366859370538861,7.722710255502929,12.357653052736904,18.42322908120228,33.21382062317483
WM,Decapoda,order,10.842498304806918,5.6583827300873875,2.174865999462701,6.593802754647231,10.108803192754296,14.340712164273683,23.68040812660535
WM,Perciformes,order,13.017291447610809,9.109237598367683,2.1759052986021565,6.471870684280775,10.723298222607063,17.16132672387305,36.4362307811874
UN,Centrarchiformes,order,45.401905728908865,22.690126931944803,7.012519635554759,27.426330061460817,43.8711993465783,62.658428167521485,89.42570781107581
UN,Cyprinodontiformes,order,34.16769213257975,14.037318770743848,9.293995008742083,24.4201328304919,33.2061009802031,42.67092063186958,65.32419795869035
UN,Decapoda,order,30.38712265185433,8.149885324782984,14.085632893486105,25.06557976795993,30.481065647991812,35.55831889752128,46.59151149267307
TR,Centrarchiformes,order,77.85577491745795,10.75950038217634,54.82390761923603,71.55707214321642,78.57701793340428,85.5596817591041,96.0537640979637
TR,Cichliformes,order,81.77767799986016,10.354123233010034,57.62828956803624,75.75618585347368,83.27499282106234,89.5818294684154,96.8295034403457
TR,Cyprinodontiformes,order,89.40344336816459,4.894734118992661,79.25459648190527,86.10872190928603,89.7979901418207,93.07101241887142,97.56423322728911
SF,Centrarchiformes,order,37.54335257393875,6.336101845698627,25.272406960673333,33.17440427540351,37.43494236892912,41.84187626897857,49.77199334797114
SF,Cichliformes,order,8.92236663910024,4.693546577741416,1.6756000217238374,5.435508965429786,8.271238498564895,11.855704559943774,19.572297875059448
SF,Cyprinodontiformes,order,14.090215111429421,5.173952802243651,4.839098500528699,10.516228267247058,13.701955348361535,17.3777022895413,25.49476781176927
SF,Decapoda,order,9.498399085899775,4.232710322894403,2.2764736041434843,6.31892264363392,9.045458948227218,12.214646683564082,18.89163820738105
PL,Centrarchiformes,order,32.772797425133575,7.3383223589577735,20.1968902646187,27.622249837243057,32.182411357501465,37.25384757198881,48.632882803846286
PL,Cyprinodontiformes,order,40.672997260685186,14.899658103066246,16.566823837439653,29.920832578229472,38.7896434569585,49.492538834266256,75.07890267927829
PL,Decapoda,order,29.06319882123257,10.920320360991097,9.681584598015274,21.63418387957405,28.07554131790016,35.829778762511786,53.775890438665805
PL,Gobiiformes,order,34.25365854879419,22.433661553870632,4.414300843416162,16.145654866276697,29.134002306778022,48.34357165146926,86.01931573934833
PD,Centrarchiformes,order,12.903571598285357,6.050723800033535,2.781609419420512,8.333400401743436,12.572115594088851,16.942813816242346,25.465209106518866
PD,Cichliformes,order,16.85381859937567,10.085468363029685,2.8436049091296702,9.409282806719963,15.485213226169275,22.029652026314437,41.46335178216457
PD,Cyprinodontiformes,order,33.426597120232664,21.630557282497573,4.5742552716413964,17.03694031335635,28.845171487660448,44.788004957557135,87.70544325173105
PD,Decapoda,order,10.656592271987984,6.083605610434752,1.8860585153228717,6.011139154407784,9.77934309464886,14.29788198248582,24.600593406515074
PD,Siluriformes,order,18.79222972456726,13.100864356850838,2.714914313958085,9.402726566020444,16.037640400195297,24.90223567137971,52.08584695361661
MR,Centrarchiformes,order,5.720455687721343,3.7531599795099764,1.018808654780288,2.9784837241512387,4.849044890017194,7.578234780035096,15.616164193080657
MR,Cichliformes,order,20.236849587495172,18.283794995853107,2.2314922200727687,7.8025042399484015,14.103256211796761,26.265502663792912,73.74153248522433
MR,Cyprinodontiformes,order,23.695637296084847,18.404268357522785,2.901480443046677,10.461678649586277,18.181924373227275,31.10510522806643,74.25200638636747
MR,Decapoda,order,42.6285796700921,26.058869465128065,3.711652545623398,20.398417344937332,39.605084611907905,63.040747100369266,92.63626161990689
LN,Atheriniformes,order,48.67724226253243,22.588250072501907,7.888794256532426,31.580025196588274,48.61313941501583,65.0031623096814,91.18348901021214
LN,Centrarchiformes,order,47.00837380681228,23.61291682941698,6.952570120359397,28.48180906508557,45.95102128671481,65.56532884961763,91.58952525988536
LN,Clupeiformes,order,73.36486091359924,15.220006080304344,38.77274908617059,64.45689791592774,74.9299698375084,84.83760681069514,96.24007939849615
LN,Cyprinodontiformes,order,62.76995405021201,20.465005854695086,15.184416055182304,50.1805658581924,65.44480387982169,78.51494381772456,94.5859712885323
