m_group,dataset,mean,sd,2.5%,25%,50%,75%,97.5%
AR,site,16.80225735202244,3.6631324516406867,9.54265751409168,14.409669931347466,16.851747561812182,19.30615400491301,23.853449235580946
EM,site,25.674389450189032,4.656373729739909,16.392333964502566,22.552670687466282,25.67403494452187,28.67259008652363,34.810674951953644
GC,site,2.0714662289714183,1.1584737847669189,0.4339578166307317,1.215382305407108,1.8679695956595723,2.6889793264242337,4.893076796644541
LN,site,61.8666631624918,7.247709126454666,48.1453392246587,57.13598331356191,61.75576501772908,66.4203021933891,76.85237624354822
MR,site,5.464096995110033,3.298395627560363,1.0224222356228743,3.001833222860299,4.804630374742674,7.291428796217538,13.408384374753043
PD,site,27.08867020075909,4.750249309633774,17.756088510265762,23.85473906042865,27.173052891703296,30.306573901076376,36.26082608565862
PL,site,43.04471990072452,4.906143850999041,33.78430934523469,39.743927265122956,42.89839776585753,46.22603010918071,52.85704551680778
SF,site,14.176318055683135,4.544789670551067,5.057033836618301,11.116475078405557,14.204014243266617,17.354013222913483,23.026624172292976
TR,site,80.95553712301076,5.231685592519458,71.05871059746714,77.24363828266276,80.77270497153353,84.42177421317025,91.50126828816241
UN,site,19.411723632765458,5.72785203783492,8.324441522904284,15.53690602355349,19.323805204742502,23.255205792096394,30.669902756467344
WM,site,12.742591727786385,3.2370453760184112,6.23147434867907,10.64129768012741,12.752277935136583,14.901543005137514,18.951956279208922
<25 km,distcat,65.84700666453432,3.1061951329328368,59.99100345157563,63.75317549372207,65.79956148273448,67.86709941317473,72.18097759400716
>25 km,distcat,10.489025702021467,1.645285667222861,7.231566693961862,9.401185190915056,10.532708339123584,11.625017465364538,13.671087146259103
Diadromous,is_diadromous,22.24394001735462,9.427833204617315,5.718711470886601,15.527295551414971,21.754785166163266,28.196878012506787,42.68354461770674
Euryhaline,is_diadromous,74.58579329703832,5.484021602041529,64.5272192651643,70.83174330082585,74.28960607021445,78.05183618426497,85.97995228493112
Freshwater,is_diadromous,11.76470726622774,2.3996200665795038,7.045912787024519,10.162253317843655,11.780779080941603,13.39315344212841,16.3143474509732
Dam,calallen,19.476957666082193,5.799857441018922,7.984524233597989,15.61112358218347,19.489235164022546,23.374025468869736,30.978891970664407
No Dam,calallen,61.811470803283676,7.200021802080761,48.56436951696328,56.99624551857268,61.406369953513675,66.29767978220748,77.03900743230005
Above Other,calallen,19.01050556057975,2.331645660266786,14.320124413707797,17.42739812736288,19.063457979650643,20.618908254040708,23.49633906586039
None,calallen,13.91616148014913,2.8242689370631853,8.268492754199757,12.074308788004538,13.960892773205513,15.879994619478605,19.31538119141799
