site,m_group,dataset,mean,sd,2.5%,25%,50%,75%,97.5%
WM,Centrarchiformes,order,14.746436168094132,3.9585693054775066,6.86463494146147,12.113321798928348,14.689816197905875,17.419582036192573,22.50350788443676
WM,Cyprinodontiformes,order,15.180915970699324,8.037414536194829,2.8633301812557823,9.04091024170578,14.350968077275873,20.280666390688186,32.42783024872648
WM,Decapoda,order,13.012890908354926,6.052956787758764,2.741378951161091,8.465238939805309,12.567684193543188,17.227937170979235,25.369374440135118
WM,Perciformes,order,13.916232131630673,7.666616653194396,2.395992018442039,8.067340139684795,12.891736137886229,18.60852463905139,31.304253694227835
UN,Centrarchiformes,order,43.713175151487036,19.62373466712699,9.304743294216042,29.858221793898938,42.16143144471093,55.846423647621926,86.95023383962473
UN,Cyprinodontiformes,order,24.628769930220447,9.937597334069835,6.8443158628965675,17.484747034587034,24.272164823320256,31.197432567892015,45.04903793657098
UN,Decapoda,order,16.243312601576392,6.444270944606606,4.4934415614652705,11.57854578576523,16.109393446824015,20.673047875029706,29.353440095229427
TR,Centrarchiformes,order,68.0636306739617,11.062669810991363,48.46153506134726,60.13705114455921,67.368613406485,75.81413797378187,90.92289141253829
TR,Cichliformes,order,68.4602524994413,15.65988430373239,37.28141428633022,57.49184978970212,69.09868708198755,80.56412515877933,95.0382572453021
TR,Cyprinodontiformes,order,83.96601614695768,5.718151010641742,73.18031375830456,80.02733004813639,83.73010637506452,88.07577469802442,95.04314140539401
SF,Centrarchiformes,order,32.84830491173523,7.3081112662555,17.89910764918775,28.09396632333261,32.96167232484089,37.636548745117366,46.833162675070675
SF,Cichliformes,order,11.231004197153359,5.968016672320816,2.022387812416418,6.649895814844123,10.609376009255616,15.012102297818803,24.47265776922068
SF,Cyprinodontiformes,order,15.020961478464665,6.746348361703494,3.2674151939010474,9.87209643815841,14.824191399171704,19.584493647378732,28.921268170797465
SF,Decapoda,order,11.558258391873341,5.914525243887411,2.1597203508350655,6.937703738401006,11.020231819995768,15.436668336057547,24.249867353536942
PL,Centrarchiformes,order,43.98495815692604,6.757549443305212,30.782455256895908,39.589921259493174,43.893481104788016,48.50728398420763,57.89244663886882
PL,Cyprinodontiformes,order,51.26796854711735,13.030310410397982,27.1099039484985,42.66210238416161,50.54789111843518,59.4708877969218,78.77713911896853
