biomass_mu,biomass_sd,biomass_n,biomass_etot,biomass_percent,site_code,collection_period,lowest_taxon,order,family,genus,species,guild,transient,transient_type,is_diadromous,annualrain,EA_order_mu,EA_order_sd,EA_species_mu,EA_species_sd,EA_transient_mu,EA_transient_sd
17.547874135961564,NA,1,26.77420606066168,65.54022216832037,SF,2020-Q2,L. oculatus,Lepisosteiformes,Lepisosteidae,Lepisosteidae,oculatus,Fish,Resident,Freshwater,Freshwater,NA,NA,NA,NA,NA,NA,NA
9.730185160333331,NA,NA,12.85635382845681,75.68386254892985,AR,2017-Q4,Oligochaeta,NA,NA,NA,NA,Invertebrate,Resident,Freshwater,Freshwater,NA,NA,NA,NA,NA,NA,NA
8.214998005,NA,NA,13.980174320652647,58.76177089483168,PL,2020-Q1,M. ohione,Decapoda,Palaemonidae,Palaemonidae,ohione,Invertebrate,Transient,Amphidromous,Diadromous,82.05065217,29.1105445897837,10.849031129252875,NA,NA,NA,NA
6.2310847420674325,NA,1,26.77420606066168,23.272715269128103,SF,2020-Q2,H. cyanoguttatus,Cichliformes,Cichlidae,Cichlidae,cyanoguttatus,Fish,Resident,Freshwater,Freshwater,56.67231884,9.032785015968212,4.635744641273382,NA,NA,NA,NA
5.1037120355,NA,NA,7.871395975711548,64.83871541018036,TR,2020-Q3,Thiaridae,Gastropoda,Thiaridae,Thiaridae,tuberculata,Invertebrate,Resident,Freshwater,Freshwater,NA,NA,NA,NA,NA,NA,NA
4.062191846,NA,NA,7.48511501187425,54.27026624916,MR,2020-Q2,Mysidae,Mysida,Mysidae,Mysidae,NA,Invertebrate,Resident,Freshwater,Freshwater,NA,NA,NA,NA,NA,NA,NA
3.9133170753333335,NA,NA,8.157987312684167,47.969148827295264,PL,2018-Q2,M. ohione,Decapoda,Palaemonidae,Palaemonidae,ohione,Invertebrate,Transient,Amphidromous,Diadromous,82.05065217,29.1105445897837,10.849031129252875,NA,NA,NA,NA
3.8893253995,NA,NA,7.46258388246063,52.11767747952706,PD,2020-Q1,P. pugio,Decapoda,Palaemonidae,Palaemonidae,pugio,Invertebrate,Transient,Amphidromous,Diadromous,78.72898551,10.52814865259754,6.181617490898043,NA,NA,NA,NA
3.621939711,NA,NA,4.258869740662358,85.04462290590509,PL,2018-Q4,M. ohione,Decapoda,Palaemonidae,Palaemonidae,ohione,Invertebrate,Transient,Amphidromous,Diadromous,82.05065217,29.1105445897837,10.849031129252875,NA,NA,NA,NA
3.448009978,NA,NA,3.914070591396398,88.09268758665581,TR,2018-Q3,Thiaridae,Gastropoda,Thiaridae,Thiaridae,tuberculata,Invertebrate,Resident,Freshwater,Freshwater,NA,NA,NA,NA,NA,NA,NA
3.170955336234889,NA,1,7.391460931220852,42.90025159763836,EM,2020-Q4,C. carpio,Cyprinodontiformes,Cyprinidae,Cyprinidae,carpio,Fish,Resident,Freshwater,Freshwater,NA,NA,NA,NA,NA,NA,NA
3.1565423944999997,NA,NA,6.586498665905336,47.92443686111523,SF,2020-Q1,Corbiculidae,Bivalva,Corbiculidae,Corbiculidae,NA,Invertebrate,Resident,Freshwater,Freshwater,NA,NA,NA,NA,NA,NA,NA
2.954024346,NA,NA,3.645075597207819,81.04151113526494,EM,2020-Q2,P. pugio,Decapoda,Palaemonidae,Palaemonidae,pugio,Invertebrate,Transient,Amphidromous,Diadromous,95.02463768,19.233371597173324,5.999402697290247,NA,NA,NA,NA
2.907439778333333,NA,NA,4.926419072733781,59.01730517456626,EM,2018-Q3,P. pugio,Decapoda,Palaemonidae,Palaemonidae,pugio,Invertebrate,Transient,Amphidromous,Diadromous,95.02463768,19.233371597173324,5.999402697290247,NA,NA,NA,NA
2.864120354,NA,NA,3.2020451480000003,89.44659496100272,MR,2018-Q4,M. ohione,Decapoda,Palaemonidae,Palaemonidae,ohione,Invertebrate,Transient,Amphidromous,Diadromous,72.85028986,44.814841875688096,27.718564215228543,NA,NA,NA,NA
2.855257028,NA,NA,3.8770129002446767,73.64579642796149,TR,2017-Q4,Thiaridae,Gastropoda,Thiaridae,Thiaridae,tuberculata,Invertebrate,Resident,Freshwater,Freshwater,NA,NA,NA,NA,NA,NA,NA
2.715856488646584,NA,1,3.4170928247818724,79.47856929581503,GC,2020-Q4,L. oculatus,Lepisosteiformes,Lepisosteidae,Lepisosteidae,oculatus,Fish,Resident,Freshwater,Freshwater,NA,NA,NA,NA,NA,NA,NA
2.544458457666667,NA,NA,4.4858650086247795,56.72169030442392,AR,2018-Q1,Thiaridae,Gastropoda,Thiaridae,Thiaridae,tuberculata,Invertebrate,Resident,Freshwater,Freshwater,NA,NA,NA,NA,NA,NA,NA
2.172477530992728,3.762841461981195,3,5.068304016927193,42.86399402516219,AR,2018-Q3,L. oculatus,Lepisosteiformes,Lepisosteidae,Lepisosteidae,oculatus,Fish,Resident,Freshwater,Freshwater,NA,NA,NA,NA,NA,NA,NA
2.122239007666667,NA,NA,3.559216902249475,59.62657140466439,GC,2018-Q3,P. pugio,Decapoda,Palaemonidae,Palaemonidae,pugio,Invertebrate,Transient,Amphidromous,Diadromous,84.25101449,4.318025002809479,2.6453772149574415,NA,NA,NA,NA
2.0981071123333335,NA,NA,3.3932606641510783,61.831592677193726,WM,2018-Q3,P. pugio,Decapoda,Palaemonidae,Palaemonidae,pugio,Invertebrate,Transient,Amphidromous,Diadromous,94.17101449,10.769509260041756,5.505333812424483,NA,NA,NA,NA
2.0146515076666667,NA,NA,4.5597516275075884,44.18336067940389,GC,2018-Q1,P. pugio,Decapoda,Palaemonidae,Palaemonidae,pugio,Invertebrate,Transient,Amphidromous,Diadromous,84.25101449,4.318025002809479,2.6453772149574415,NA,NA,NA,NA
1.9805409824903777,NA,1,7.391460931220852,26.79498682222285,EM,2020-Q4,L. oculatus,Lepisosteiformes,Lepisosteidae,Lepisosteidae,oculatus,Fish,Resident,Freshwater,Freshwater,NA,NA,NA,NA,NA,NA,NA
1.958171983,NA,NA,5.971753202350776,32.79057115470156,PL,2020-Q3,Oligochaeta,NA,NA,NA,NA,Invertebrate,Resident,Freshwater,Freshwater,NA,NA,NA,NA,NA,NA,NA
1.944205418,NA,NA,3.870708470865875,50.22867086564859,TR,2020-Q1,Thiaridae,Gastropoda,Thiaridae,Thiaridae,tuberculata,Invertebrate,Resident,Freshwater,Freshwater,NA,NA,NA,NA,NA,NA,NA
1.886473713,NA,NA,4.672556712237133,40.373479214483226,MR,2018-Q2,Nepidae,Hemiptera,Nepidae,Nepidae,NA,Invertebrate,Resident,Freshwater,Freshwater,NA,NA,NA,NA,NA,NA,NA
1.841288584129636,NA,1,7.871395975711548,23.3921478453279,TR,2020-Q3,H. cyanoguttatus,Cichliformes,Cichlidae,Cichlidae,cyanoguttatus,Fish,Resident,Freshwater,Freshwater,54.17231884,81.54926809213661,10.415153755623058,NA,NA,NA,NA
1.835477570621166,NA,1,2.1478490345013235,85.4565447169483,TR,2020-Q4,C. variegatus,Cyprinodontiformes,Cyprinodontidae,Cyprinodontidae,variegatus,Fish,Transient,Euryhaline,Euryhaline,54.17231884,89.30229297481705,4.924157303493319,NA,NA,NA,NA
1.7998445947970994,NA,1,7.391460931220852,24.350322778474297,EM,2020-Q4,I. bubalus,Cypriniformes,Catostomidae,Catostomidae,bubalus,Fish,Resident,Freshwater,Freshwater,NA,NA,NA,NA,NA,NA,NA
1.7843777795031164,NA,1,2.9193994691602088,61.12139836815167,TR,2018-Q1,C. variegatus,Cyprinodontiformes,Cyprinodontidae,Cyprinodontidae,variegatus,Fish,Transient,Euryhaline,Euryhaline,54.17231884,89.30229297481705,4.924157303493319,NA,NA,NA,NA
1.783579137,NA,NA,3.529430249,50.53447755499191,PD,2018-Q4,P. pugio,Decapoda,Palaemonidae,Palaemonidae,pugio,Invertebrate,Transient,Amphidromous,Diadromous,78.72898551,10.52814865259754,6.181617490898043,NA,NA,NA,NA
1.7805036395,NA,NA,7.519666833500109,23.677959129357408,EM,2020-Q1,Unionidae,Unionoida,Unionidae,Unionidae,NA,Invertebrate,Resident,Freshwater,Freshwater,NA,NA,NA,NA,NA,NA,NA
1.7361599783333332,NA,NA,2.044451918120834,84.92055806962344,MR,2018-Q3,M. ohione,Decapoda,Palaemonidae,Palaemonidae,ohione,Invertebrate,Transient,Amphidromous,Diadromous,72.85028986,44.814841875688096,27.718564215228543,NA,NA,NA,NA
1.7341873714225655,2.416666553863098,2,5.596569784802734,30.986612123227403,PL,2018-Q1,L. megalotis,Centrarchiformes,Centrarchidae,Centrarchidae,megalotis,Fish,Resident,Freshwater,Freshwater,82.05065217,32.57633213954571,7.211514836778687,NA,NA,NA,NA
1.7150006917487608,NA,1,7.005587403496204,24.480469559096125,PL,2020-Q2,L. oculatus,Lepisosteiformes,Lepisosteidae,Lepisosteidae,oculatus,Fish,Resident,Freshwater,Freshwater,NA,NA,NA,NA,NA,NA,NA
1.6731574985973985,NA,1,1.8684197606708848,89.54933649367024,SF,2017-Q3,L. oculatus,Lepisosteiformes,Lepisosteidae,Lepisosteidae,oculatus,Fish,Resident,Freshwater,Freshwater,NA,NA,NA,NA,NA,NA,NA
