pass1,pass2,pass3,site_code,collection_date,genus,species,common_name,order,family,lowest_taxon,guild,transient_type,transient,is_diadromous
1,6,6,AR,2017-09-12,Cyprinella,lutrensis,Red shiner,Cypriniformes,Leuciscidae,C. lutrensis,Fish,Freshwater,Freshwater,Freshwater
1,0,1,AR,2017-09-12,Gambusia,affinis,Mosquitofish,Cyprinodontiformes,Poeciliidae,G. affinis,Fish,Freshwater,Freshwater,Freshwater
0,1,5,AR,2017-09-12,Herichthys,cyanoguttatus,Rio grande cichlid,Cichliformes,Cichlidae,H. cyanoguttatus,Fish,Freshwater,Freshwater,Freshwater
1,0,0,AR,2017-09-12,Ictalurus,punctatus,Channel catfish,Siluriformes,Ictaluridae,I. punctatus,Fish,Freshwater,Freshwater,Freshwater
1,0,1,AR,2017-09-12,Lepomis,auritus,Redbreasted Sunfish,Centrarchiformes,Centrarchidae,L. auritus,Fish,Freshwater,Freshwater,Freshwater
0,1,0,AR,2017-09-12,Lepomis,cyanellus,Green sunfish,Centrarchiformes,Centrarchidae,L. cyanellus,Fish,Freshwater,Freshwater,Freshwater
4,2,6,AR,2017-09-12,Lepomis,macrochirus,Bluegill sunfish,Centrarchiformes,Centrarchidae,L. macrochirus,Fish,Freshwater,Freshwater,Freshwater
1,1,6,AR,2017-09-12,Macrobrachium,ohione,Machrobrachium,Decapoda,Palaemonidae,M. ohione,Invertebrate,Amphidromous,Transient,Diadromous
0,4,0,AR,2017-09-12,Palaemonetes,pugio,Grass shrimp,Decapoda,Palaemonidae,P. pugio,Invertebrate,Freshwater,Freshwater,Freshwater
0,0,1,SF,2017-09-19,Astyanax,mexicanus,Mexican tetra,Characiformes,Characidae,A. mexicanus,Fish,Freshwater,Freshwater,Freshwater
4,0,0,SF,2017-09-19,Gambusia,affinis,Mosquitofish,Cyprinodontiformes,Poeciliidae,G. affinis,Fish,Freshwater,Freshwater,Freshwater
19,5,2,SF,2017-09-19,Herichthys,cyanoguttatus,Rio grande cichlid,Cichliformes,Cichlidae,H. cyanoguttatus,Fish,Freshwater,Freshwater,Freshwater
0,0,1,SF,2017-09-19,Lepisosteus,oculatus,Spotted gar,Lepisosteiformes,Lepisosteidae,L. oculatus,Fish,Freshwater,Freshwater,Freshwater
0,1,1,SF,2017-09-19,Lepomis,macrochirus,Bluegill sunfish,Centrarchiformes,Centrarchidae,L. macrochirus,Fish,Freshwater,Freshwater,Freshwater
0,1,0,SF,2017-09-19,Lepomis,megalotis,Longear sunfish,Centrarchiformes,Centrarchidae,L. megalotis,Fish,Freshwater,Freshwater,Freshwater
22,13,7,SF,2017-09-19,Poecilia,formosa,Amazon molly,Cyprinodontiformes,Poeciliidae,P. formosa,Fish,Freshwater,Freshwater,Freshwater
5,7,4,SF,2017-09-19,Poecilia,latipinna,Sailfin molly,Cyprinodontiformes,Poeciliidae,P. latipinna,Fish,Euryhaline,Transient,Euryhaline
