Iso Period,Site Code,Bluegreen Cyano,Green Algae,Diatoms
January,AR,0.2675,0.395,0.53
June,AR,0.27249999999999996,0.01,0.245
November,AR,0.21,0.18,0.3
September,AR,0.19,0.0825,0.14500000000000002
January,EM,0.7675000000000001,0.0175,0.12
June,EM,0.015,0.0375,0.0125
November,EM,0.8625,0.03499999999999999,0.3725
September,EM,0.27749999999999997,0.97,0.245
January,GC,0.025,0.0975,0.2175
June,GC,0.1725,0.3725,0.305
November,GC,0.375,0.1825,0.435
September,GC,0.365,0.8975,0.3975
January,MR,0.22,0.27,0.8475
June,MR,0.2425,0.01,0.1575
November,MR,0.155,0.1525,0.24
September,MR,0.2025,0.115,0.2925
January,PD,0.48,0.2225,1.36
June,PD,0.48,0.08,0.23
November,PD,1.0383510638297873,0.1273936170212766,0.18659574468085105
September,PD,0.9,0.1025,0.1325
January,PL,0.2,0.175,0.6975
June,PL,0.395,0.14,0.6875
November,PL,0.2925,0.0775,0.765
September,PL,0.2425,0.13,0.3625
January,SF,0.2275,0.02,0.975
June,SF,0.0925,0.015,0.19
November,SF,0.3675,0.16749999999999998,0.8724999999999999
September,SF,0.1075,0.035,0.3
January,TR,0.36,0,1.5425
June,TR,0.045,0.0925,0.0775
November,TR,0.6075,0.105,0.56
September,TR,0.395,0.1075,0.2375
January,WM,0.4525,0.515,0.2675
June,WM,0.005,0.035,0.015
November,WM,0.07,0.05,0.2
September,WM,0.2975,0.125,0.4
